City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Ulverstone,AU,2021-02-25 18:20:52,-41.15,146.1667,48.99,81,20,10.0
67,Qaanaaq,GL,2021-02-25 18:18:55,77.484,-69.3632,16.25,88,100,5.97
68,Ananas,HT,2021-02-25 18:20:52,19.2466,-71.9557,85.24,32,9,3.96
69,Port Hueneme,US,2021-02-25 18:20:53,34.1478,-119.1951,66.2,11,1,20.71
70,La Rochelle,FR,2021-02-25 18:20:53,46.1667,-1.15,51.8,93,20,4.61
71,Tres Lagoas,BR,2021-02-25 18:20:54,-20.7511,-51.6783,91.24,49,7,6.31
72,Fortuna,US,2021-02-25 18:20:09,40.5982,-124.1573,53.01,93,1,4.61
73,Krasnyy Chikoy,RU,2021-02-25 18:20:54,50.3643,108.7512,17.49,89,100,3.71
74,Mecca,SA,2021-02-25 18:19:59,21.4267,39.8261,70.2,39,0,10.78
75,Cam Ranh,VN,2021-02-25 18:20:55,11.9214,109.1591,69.8,88,20,1.14
76,Nikolskoye,RU,2021-02-25 18:19:47,59.7035,30.7861,39.2,93,90,4.47
77,Ust-Kulom,RU,2021-02-25 18:20:55,61.6864,53.6902,-7.87,90,83,5.77
78,Guerrero Negro,MX,2021-02-25 18:20:56,27.9769,-114.0611,66.58,45,38,10.69
79,Port Alfred,ZA,2021-02-25 18:18:58,-33.5906,26.891,64.99,90,93,1.99
80,Esil,KZ,2021-02-25 18:20:56,51.9556,66.4042,-21.55,98,69,7.47
81,Fuengirola,ES,2021-02-25 18:20:56,36.54,-4.6247,59.0,82,20,2.3
82,Ponerihouen,NC,2021-02-25 18:20:57,-21.0833,165.4,76.51,84,14,9.26
83,Hurghada,EG,2021-02-25 18:20:57,27.2574,33.8129,68.0,45,0,9.22
84,Banjar,ID,2021-02-25 18:20:57,-8.19,114.9675,80.6,89,20,6.91
85,Surt,LY,2021-02-25 18:20:57,31.2089,16.5887,60.85,75,49,13.71
86,Jonava,LT,2021-02-25 18:20:58,55.0833,24.2833,46.4,76,0,5.75
87,Bluff,NZ,2021-02-25 18:19:08,-46.6,168.3333,46.0,94,65,6.29
88,Kutum,SD,2021-02-25 18:19:40,14.2,24.6667,61.38,29,11,11.63
89,Lavrentiya,RU,2021-02-25 18:20:58,65.5833,-171.0,-17.14,81,0,9.51
90,Hasaki,JP,2021-02-25 18:20:59,35.7333,140.8333,41.0,81,75,4.61
91,Vardo,NO,2021-02-25 18:19:27,70.3705,31.1107,24.8,93,75,29.93
92,Vila Franca Do Campo,PT,2021-02-25 18:20:59,37.7167,-25.4333,59.0,77,75,14.97
93,Victoria,HK,2021-02-25 18:17:16,22.2855,114.1577,71.01,86,70,6.35
94,Katobu,ID,2021-02-25 18:20:59,-4.9408,122.5276,75.69,94,93,2.8
95,Saskylakh,RU,2021-02-25 18:18:50,71.9167,114.0833,-31.11,81,0,7.36
96,Palauig,PH,2021-02-25 18:21:00,15.435,119.9045,78.58,74,71,3.49
97,Malkangiri,IN,2021-02-25 18:21:00,18.35,81.9,70.99,24,0,2.44
98,Dikson,RU,2021-02-25 18:21:01,73.5069,80.5464,-15.97,90,99,10.36
99,Mondovi,IT,2021-02-25 18:21:01,44.396,7.8176,57.99,62,0,2.3
100,Kandrian,PG,2021-02-25 18:21:02,-6.2167,149.55,77.14,87,99,9.19
101,Berlevag,NO,2021-02-25 18:20:01,70.8578,29.0864,32.0,80,75,21.85
102,Sainte-Maxime,FR,2021-02-25 18:21:03,43.3,6.6333,57.2,58,0,3.15
103,Akdepe,TM,2021-02-25 18:21:03,42.0551,59.3788,12.2,79,0,2.3
104,Dengfeng,CN,2021-02-25 18:21:03,34.4553,113.0281,43.0,99,100,3.78
105,Kaele,CM,2021-02-25 18:21:03,10.1092,14.4508,83.59,15,81,5.95
106,Alofi,NU,2021-02-25 18:19:16,-19.0595,-169.9187,77.0,94,21,2.3
107,Flinders,AU,2021-02-25 18:19:00,-34.5833,150.8552,66.0,84,3,1.01
108,Namangan,UZ,2021-02-25 18:21:04,40.9983,71.6726,24.8,39,100,2.3
109,Ardakan,IR,2021-02-25 18:21:04,32.31,54.0175,32.0,93,90,9.22
110,Ciudad Bolivar,VE,2021-02-25 18:21:05,8.1222,-63.5497,92.03,42,85,9.75
111,Gravdal,NO,2021-02-25 18:21:05,68.1214,13.5031,39.2,100,75,3.44
112,Vao,NC,2021-02-25 18:19:06,-22.6667,167.4833,78.08,78,20,18.03
113,Alta Floresta,BR,2021-02-25 18:21:05,-9.8756,-56.0861,82.4,83,75,6.91
114,Ishigaki,JP,2021-02-25 18:21:05,24.3448,124.1572,73.65,86,67,14.52
115,Bodhan,IN,2021-02-25 18:17:04,18.6667,77.9,77.85,18,0,1.41
116,Guhagar,IN,2021-02-25 18:21:06,17.4842,73.1929,76.68,59,0,5.61
117,Vakhrushev,RU,2021-02-25 18:21:06,48.9833,142.9667,14.72,94,100,9.01
118,Novogornyy,RU,2021-02-25 18:21:07,55.63,60.7919,-5.8,59,40,8.95
119,Guanica,PR,2021-02-25 18:21:07,17.9716,-66.908,84.99,50,43,11.01
120,Bengkulu,ID,2021-02-25 18:17:44,-3.8004,102.2655,76.91,84,100,6.73
121,Kashi,CN,2021-02-25 18:19:01,39.4547,75.9797,41.0,45,75,6.71
122,Tabas,IR,2021-02-25 18:21:08,33.5959,56.9244,45.14,51,95,9.04
123,Tuktoyaktuk,CA,2021-02-25 18:18:39,69.4541,-133.0374,-41.8,66,1,4.61
124,Okhotsk,RU,2021-02-25 18:19:05,59.3833,143.3,-5.24,82,35,9.84
125,Vallenar,CL,2021-02-25 18:21:09,-28.5708,-70.7581,86.92,27,37,9.44
126,Newport,GB,2021-02-25 18:18:20,51.5877,-2.9984,46.99,75,9,8.3
127,Barrow,US,2021-02-25 18:18:52,71.2906,-156.7887,-29.2,75,1,10.36
128,Luderitz,NA,2021-02-25 18:21:10,-26.6481,15.1594,73.78,50,0,26.19
129,Luanda,AO,2021-02-25 18:21:10,-8.8368,13.2343,78.8,78,75,3.44
130,Tiksi,RU,2021-02-25 18:18:57,71.6872,128.8694,-19.88,86,100,4.79
131,Wufeng,CN,2021-02-25 18:21:11,27.45,104.8333,44.35,100,100,4.56
132,Kichera,RU,2021-02-25 18:21:11,55.9375,110.0997,0.32,79,97,11.5
133,Greenville,US,2021-02-25 18:18:54,35.6127,-77.3663,66.2,42,1,4.61
134,Sept-Iles,CA,2021-02-25 18:19:32,50.2001,-66.3821,23.0,42,90,13.8
135,Airai,TL,2021-02-25 18:19:15,-8.9266,125.4092,59.85,100,100,1.45
136,Ilula,TZ,2021-02-25 18:21:12,-7.6766,36.0366,68.0,88,20,1.52
137,Heidenau,DE,2021-02-25 18:21:12,50.9722,13.8674,53.6,62,0,5.75
138,Nelson Bay,AU,2021-02-25 18:21:13,-32.7167,152.15,66.0,100,19,6.91
139,Pozo Colorado,PY,2021-02-25 18:21:13,-23.4923,-58.7972,97.21,37,27,4.03
140,Richards Bay,ZA,2021-02-25 18:21:13,-28.783,32.0377,70.5,83,12,5.41
141,Benghazi,LY,2021-02-25 18:21:14,32.1167,20.0667,59.13,71,25,23.53
142,Diffa,NE,2021-02-25 18:21:14,13.3154,12.6113,76.15,18,0,7.45
143,Port Hedland,AU,2021-02-25 18:21:14,-20.3167,118.5667,82.4,89,0,11.5
144,Kodiak,US,2021-02-25 18:14:11,57.79,-152.4072,39.2,56,40,23.02
145,Shimoda,JP,2021-02-25 18:19:21,34.6667,138.95,43.0,64,78,1.01
146,Sisimiut,GL,2021-02-25 18:19:19,66.9395,-53.6735,18.32,82,21,5.57
147,Albany,US,2021-02-25 18:18:31,42.6001,-73.9662,39.99,40,10,3.0
148,Clyde River,CA,2021-02-25 18:19:01,70.4692,-68.5914,-9.4,77,75,9.22
149,Powell River,CA,2021-02-25 18:21:15,49.8496,-124.5361,44.6,87,75,5.75
150,Sitka,US,2021-02-25 18:16:35,57.0531,-135.33,37.4,87,90,4.61
151,Inhambane,MZ,2021-02-25 18:19:48,-23.865,35.3833,78.8,89,20,5.79
152,Changli,CN,2021-02-25 18:21:16,39.7042,119.1506,29.57,77,0,2.95
153,Margate,GB,2021-02-25 18:19:35,51.3813,1.3862,50.0,75,100,1.01
154,Korla,CN,2021-02-25 18:19:11,41.7597,86.1469,41.38,64,92,5.32
155,Mar Del Plata,AR,2021-02-25 18:15:00,-38.0023,-57.5575,86.0,42,20,11.5
156,Chokurdakh,RU,2021-02-25 18:19:21,70.6333,147.9167,-23.26,97,94,4.18
157,Cap Malheureux,MU,2021-02-25 18:21:17,-19.9842,57.6142,81.0,72,9,8.99
